1,Jake Campbell,SR,St. Olaf College,25:36.1
2,Hart Hornor,SR,Carleton College,25:44.6
3,Matt Berens,SR,Bethel University,25:49.8
4,Jacob Gerhartz,JR,University of St. Thomas,25:54.5
5,Calvin Lehn,SR,St. Olaf College,26:01.4
6,Paul Escher,SR,St. Olaf College,26:08.8
7,Thomas Feichtinger,SR,Saint John's University,26:21.8
8,Jonah Barry,JR,Carleton College,26:23.0
9,Evan Jones,JR,Gustavus Alolphus College,26:28.5
10,Joe Coffey,JR,St. Olaf College,26:34.3
11,Ryan Bugler,JR,Saint John's University,26:37.6
12,Keith Ketola,SO,St. Olaf College,26:38.9
13,Thomas Knobbe,JR,Gustavus Alolphus College,26:40.0
14,Ephraim Bird,FR,University of St. Thomas,26:42.8
15,Paul Timm,SO,St. Olaf College,26:44.1
16,Jovan Newsum,JR,Saint Mary's University,26:45.9
17,Jake Burr,SR,Saint John's University,26:48.2
18,Lachlan Hinwood,JR,Macalester College,26:48.9
19,Nathan Rock,SR,Hamline University,26:51.6
20,Donson Cook-Gallardo,SO,Carleton College,26:52.0
21,Carston Dammann,JR,Gustavus Alolphus College,26:56.1
22,Paul Nordquist,JR,Gustavus Alolphus College,26:57.2
23,Sean Bjork,JR,St. Olaf College,26:58.4
24,Abdullahi Salan,JR,Augsburg College,26:59.8
25,Jacob Eggers,JR,St. Olaf College,27:00.5
26,David Ellenberger,SO,St. Olaf College,27:05.3
27,James Logan,JR,Hamline University,27:05.6
28,Alex Berhe,FR,St. Olaf College,27:14.1
29,Mohamed Mohamed,SR,Augsburg College,27:14.4
30,Brandon Franta,JR,Saint John's University,27:16.6
31,Adam Wood,SO,St. Olaf College,27:20.2
32,Dylan Baumann,SR,University of St. Thomas,27:21.0
33,Evan Hatton,FR,Bethel University,27:22.3
34,Parker Rosenau,FR,University of St. Thomas,27:24.0
35,Sam Ivanecky,FR,University of St. Thomas,27:25.0
36,Trevor Smith,JR,University of St. Thomas,27:25.6
37,Walter Edstrom,JR,Carleton College,27:26.2
38,Nick Sokolowski,SO,St. Olaf College,27:27.3
39,Lukas Buehler,JR,Saint John's University,27:29.8
40,Tayler Aarness,SO,St. Olaf College,27:30.4
41,Matthew Burgstahler,SO,Saint John's University,27:31.6
42,Tris Dodge,FR,Carleton College,27:31.6
43,Seth Glidewell,FR,University of St. Thomas,27:38.0
44,Austin O'Hare,SO,Saint Mary's University,27:39.1
